timestamp,event,attention_state,window
2026-03-13 23:18:03.294959,mouse_move,Active Engagement,● app.py - attentionmap - Visual Studio Code
2026-03-13 23:18:03.302516,mouse_move,Active Engagement,● app.py - attentionmap - Visual Studio Code
2026-03-13 23:18:03.309634,mouse_move,Active Engagement,● app.py - attentionmap - Visual Studio Code
2026-03-13 23:18:03.316222,mouse_move,Active Engagement,● app.py - attentionmap - Visual Studio Code
2026-03-13 23:18:03.323291,mouse_move,Active Engagement,● app.py - attentionmap - Visual Studio Code
2026-03-13 23:18:03.330515,mouse_move,Active Engagement,● app.py - attentionmap - Visual Studio Code
2026-03-13 23:18:03.337518,mouse_move,Active Engagement,● app.py - attentionmap - Visual Studio Code
2026-03-13 23:18:03.344917,mouse_move,Active Engagement,● app.py - attentionmap - Visual Studio Code
2026-03-13 23:18:03.359154,mouse_move,Active Engagement,● app.py - attentionmap - Visual Studio Code
2026-03-13 23:18:03.365816,mouse_move,Active Engagement,● app.py - attentionmap - Visual Studio Code
2026-03-13 23:18:03.386906,mouse_move,Active Engagement,● app.py - attentionmap - Visual Studio Code
2026-03-13 23:18:03.451172,mouse_move,Active Engagement,● app.py - attentionmap - Visual Studio Code
2026-03-13 23:18:03.486479,mouse_move,Active Engagement,● app.py - attentionmap - Visual Studio Code
2026-03-13 23:18:03.820239,mouse_click,Active Engagement,● app.py - attentionmap - Visual Studio Code
2026-03-13 23:18:04.500485,window_switch,Attention Shift,Visual Studio Code
2026-03-13 23:18:04.705772,mouse_move,Active Engagement,Visual Studio Code
2026-03-13 23:18:04.713397,mouse_move,Active Engagement,Visual Studio Code
2026-03-13 23:18:04.721173,mouse_move,Active Engagement,Visual Studio Code
2026-03-13 23:18:04.727872,mouse_move,Active Engagement,Visual Studio Code
2026-03-13 23:18:04.734548,mouse_move,Active Engagement,Visual Studio Code
2026-03-13 23:18:04.741488,mouse_move,Active Engagement,Visual Studio Code
2026-03-13 23:18:04.748346,mouse_move,Active Engagement,Visual Studio Code
2026-03-13 23:18:04.755674,mouse_move,Active Engagement,Visual Studio Code
2026-03-13 23:18:04.762590,mouse_move,Active Engagement,Visual Studio Code
2026-03-13 23:18:04.769870,mouse_move,Active Engagement,Visual Studio Code
2026-03-13 23:18:04.776968,mouse_move,Active Engagement,Visual Studio Code
2026-03-13 23:18:04.784050,mouse_move,Active Engagement,Visual Studio Code
2026-03-13 23:18:04.791850,mouse_move,Active Engagement,Visual Studio Code
2026-03-13 23:18:04.798101,mouse_move,Active Engagement,Visual Studio Code
2026-03-13 23:18:04.805407,mouse_move,Active Engagement,Visual Studio Code
2026-03-13 23:18:04.812653,mouse_move,Active Engagement,Visual Studio Code
2026-03-13 23:18:04.819451,mouse_move,Active Engagement,Visual Studio Code
2026-03-13 23:18:04.826566,mouse_move,Active Engagement,Visual Studio Code
2026-03-13 23:18:04.833409,mouse_move,Active Engagement,Visual Studio Code
2026-03-13 23:18:04.841224,mouse_move,Active Engagement,Visual Studio Code
2026-03-13 23:18:04.847893,mouse_move,Active Engagement,Visual Studio Code
2026-03-13 23:18:04.855347,mouse_move,Active Engagement,Visual Studio Code
2026-03-13 23:18:04.862161,mouse_move,Active Engagement,Visual Studio Code
2026-03-13 23:18:04.869400,mouse_move,Active Engagement,Visual Studio Code
2026-03-13 23:18:04.876448,mouse_move,Active Engagement,Visual Studio Code
2026-03-13 23:18:04.883343,mouse_move,Active Engagement,Visual Studio Code
2026-03-13 23:18:04.890589,mouse_move,Active Engagement,Visual Studio Code
2026-03-13 23:18:04.897835,mouse_move,Active Engagement,Visual Studio Code
2026-03-13 23:18:04.904803,mouse_move,Active Engagement,Visual Studio Code
2026-03-13 23:18:04.911793,mouse_move,Active Engagement,Visual Studio Code
2026-03-13 23:18:04.925967,mouse_move,Active Engagement,Visual Studio Code
2026-03-13 23:18:04.932955,mouse_move,Active Engagement,Visual Studio Code
2026-03-13 23:18:04.940016,mouse_move,Active Engagement,Visual Studio Code
2026-03-13 23:18:04.947450,mouse_move,Active Engagement,Visual Studio Code
2026-03-13 23:18:04.954076,mouse_move,Active Engagement,Visual Studio Code
2026-03-13 23:18:04.961345,mouse_move,Active Engagement,Visual Studio Code
2026-03-13 23:18:04.968343,mouse_move,Active Engagement,Visual Studio Code
2026-03-13 23:18:04.975650,mouse_move,Active Engagement,Visual Studio Code
2026-03-13 23:18:04.982659,mouse_move,Active Engagement,Visual Studio Code
2026-03-13 23:18:04.989517,mouse_move,Active Engagement,Visual Studio Code
2026-03-13 23:18:04.996462,mouse_move,Active Engagement,Visual Studio Code
2026-03-13 23:18:05.003797,mouse_move,Active Engagement,Visual Studio Code
2026-03-13 23:18:05.010553,mouse_move,Active Engagement,Visual Studio Code
2026-03-13 23:18:05.017872,mouse_move,Active Engagement,Visual Studio Code
2026-03-13 23:18:05.024855,mouse_move,Active Engagement,Visual Studio Code
2026-03-13 23:18:05.032027,mouse_move,Active Engagement,Visual Studio Code
2026-03-13 23:18:05.039349,mouse_move,Active Engagement,Visual Studio Code
2026-03-13 23:18:05.046333,mouse_move,Active Engagement,Visual Studio Code
2026-03-13 23:18:05.053386,mouse_move,Active Engagement,Visual Studio Code
2026-03-13 23:18:05.060606,mouse_move,Active Engagement,Visual Studio Code
2026-03-13 23:18:05.067247,mouse_move,Active Engagement,Visual Studio Code
2026-03-13 23:18:05.074449,mouse_move,Active Engagement,Visual Studio Code
2026-03-13 23:18:05.081975,mouse_move,Active Engagement,Visual Studio Code
